max_size	None
min_freq	None
unknown	<unk>
padding	<pad>
rebuild	False

坐标	18	394	0
标新	7	1077	0
新乡	195	10	0
乡卫	12	621	0
卫辉	154	14	0
辉,	7	1078	0
,整	4	1871	0
整个	14	528	0
个村	19	369	0
村庄	18	395	0
庄全	2	3434	0
全部	41	130	0
部被	24	283	0
被淹	53	84	0
淹,	24	284	0
,急	112	22	0
急需	239	5	0
需救	74	49	0
救援	462	2	0
援,	107	27	0
,人	22	315	0
人员	75	48	0
员只	1	5795	0
只能	12	622	0
能在	1	5796	0
在屋	6	1257	0
屋顶	8	938	0
顶,	25	261	0
,<end>	61	66	0
需防	2	3435	0
防汛	11	680	0
汛抗	4	1872	0
抗灾	1	5797	0
灾物	6	1258	0
物资	146	17	0
资及	1	5798	0
及设	1	5799	0
设备	30	199	0
备,	5	1507	0
,望	5	1508	0
望社	2	3436	0
社会	9	839	0
会各	5	1509	0
各界	8	939	0
界人	4	1873	0
人士	13	574	0
士给	2	3437	0
给予	2	3438	0
予帮	1	5800	0
帮助	17	433	0
助<end>	9	840	0
乡市	90	35	0
市牧	27	236	0
牧野	52	86	0
野区	35	163	0
区寺	6	1259	0
寺庄	25	262	0
庄顶	23	301	0
顶村	6	1260	0
村电	2	3439	0
电话	131	18	0
话1	41	131	0
18	94	31	0
82	27	237	0
23	50	91	0
38	82	40	0
87	23	302	0
75	17	434	0
56	27	238	0
68	18	396	0
81	24	285	0
12	38	144	0
2基	1	5801	0
基本	10	752	0
本情	1	5802	0
情况	83	39	0
况两	1	5803	0
两位	36	153	0
位老	32	178	0
老人	263	4	0
人被	60	67	0
被困	208	8	0
困断	1	5804	0
断水	49	94	0
水断	44	122	0
断粮	21	337	0
粮老	1	5805	0
人有	18	397	0
有心	3	2443	0
心脏	9	841	0
脏病	8	940	0
病<end>	1	5806	0
区曲	2	3440	0
曲韩	2	3441	0
韩社	2	3442	0
社区	11	681	0
区,	54	78	0
,我	50	92	0
我的	9	842	0
的家	8	941	0
家,	18	398	0
,卫	23	303	0
卫河	37	149	0
河决	10	753	0
决堤	22	316	0
堤,	17	435	0
,河	12	623	0
河水	19	370	0
水倒	17	436	0
倒灌	32	179	0
灌,	16	464	0
,挣	1	5807	0
挣个	1	5808	0
个小	49	95	0
小区	110	25	0
区被	4	1874	0
困,	49	96	0
,请	72	53	0
请求	65	62	0
求救	55	73	0
援<end>	74	50	0
乡辉	3	2444	0
辉县	28	216	0
县市	19	371	0
市辉	8	942	0
市胡	2	3443	0
胡桥	1	5809	0
桥乡	1	5810	0
乡时	1	5811	0
时小	2	3444	0
小庄	2	3445	0
庄村	28	217	0
村进	11	682	0
进水	36	154	0
水高	1	5812	0
高度	3	2445	0
度已	1	5813	0
已超	5	1510	0
超过	19	372	0
过人	1	5814	0
人的	8	943	0
的腰	2	3446	0
腰部	5	1511	0
部,	8	944	0
,住	10	754	0
住户	20	354	0
户屋	1	5815	0
屋里	9	843	0
里水	5	1512	0
水已	48	99	0
已到	6	1261	0
到大	8	945	0
大腿	9	844	0
腿;	1	5816	0
;<end>	8	946	0
呼吁	12	624	0
吁政	9	845	0
政府	22	317	0
府关	12	625	0
关注	19	373	0
注现	4	1875	0
现在	180	11	0
在用	1	5817	0
用户	1	5818	0
户处	1	5819	0
处于	24	286	0
于没	14	529	0
没水	44	123	0
水,	90	36	0
,没	66	59	0
没电	78	45	0
电,	88	37	0
没气	1	5820	0
气,	6	1262	0
,如	18	399	0
如果	19	374	0
果再	6	1263	0
再不	4	1876	0
不过	8	947	0
过来	12	626	0
来救	9	846	0
,全	15	487	0
全村	28	218	0
村人	4	1877	0
人都	11	683	0
都将	1	5821	0
将面	1	5822	0
面临	7	1079	0
临断	1	5823	0
断电	55	74	0
电断	22	318	0
粮的	1	5824	0
的局	1	5825	0
局面	1	5826	0
面,	21	338	0
,被	33	172	0
困人	28	219	0
员中	2	3447	0
中有	21	339	0
有1	14	530	0
1/	2	3448	0
/3	2	3449	0
3以	1	5827	0
以上	14	531	0
上是	2	3450	0
是儿	1	5828	0
儿童	15	488	0
童和	2	3451	0
和老	4	1878	0
人<end>	11	684	0
标位	1	5829	0
位于	13	575	0
于凤	3	2446	0
凤泉	38	145	0
泉区	38	146	0
区绿	10	755	0
绿茵	9	847	0
茵河	9	848	0
河畔	9	849	0
畔东	1	5830	0
东区	5	1513	0
区5	2	3452	0
58	46	106	0
8一	1	5831	0
一3	1	5832	0
3,	3	2447	0
,电	15	489	0
13	125	20	0
39	69	56	0
93	54	79	0
37	88	38	0
73	54	80	0
34	33	173	0
42	8	948	0
24	35	164	0
48	21	340	0
88	32	180	0
8,	10	756	0
,这	10	757	0
这是	14	532	0
是一	6	1264	0
一位	33	174	0
位孕	2	3453	0
孕妇	23	304	0
妇,	5	1514	0
,和	7	1080	0
和他	1	5833	0
他丈	1	5834	0
丈夫	1	5835	0
夫在	1	5836	0
在一	12	627	0
一起	4	1879	0
起,	2	3454	0
,孕	1	5837	0
妇挺	1	5838	0
挺了	1	5839	0
了一	17	437	0
一天	31	186	0
天一	15	490	0
一夜	20	355	0
夜<end>	1	5840	0
标辉	1	5841	0
市占	4	1880	0
占城	6	1265	0
城乡	1	5842	0
乡三	1	5843	0
三位	3	2448	0
位营	1	5844	0
营村	6	1266	0
村水	3	2449	0
水位	94	32	0
位上	4	1881	0
上涨	27	239	0
涨太	1	5845	0
太快	3	2450	0
快现	1	5846	0
屋内	5	1515	0
内已	1	5847	0
已经	209	7	0
经两	7	1081	0
两米	19	375	0
米多	12	628	0
多深	6	1267	0
深请	1	5848	0
请大	14	533	0
大家	48	100	0
家看	1	5849	0
看到	27	240	0
到此	1	5850	0
此信	1	5851	0
信息	31	187	0
息后	1	5852	0
后在	1	5853	0
在朋	1	5854	0
朋友	55	75	0
友圈	6	1268	0
圈帮	1	5855	0
帮忙	48	101	0
忙全	1	5856	0
村几	1	5857	0
几千	5	1516	0
千号	2	3455	0
号人	4	1882	0
人等	9	850	0
等待	45	115	0
待救	43	125	0
援。	30	200	0
。<end>	126	19	0
标河	1	5858	0
河南	65	63	0
南省	41	132	0
省新	16	465	0
市凤	28	220	0
区大	13	576	0
大块	13	577	0
块镇	11	685	0
镇陈	1	5859	0
陈堡	1	5860	0
堡村	1	5861	0
村1	4	1883	0
15	117	21	0
50	79	44	0
08	14	534	0
8号	12	629	0
号被	1	5862	0
困的	5	1517	0
